"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"FCTY","1st Century Bancshares, Inc","6.01","55721853.23","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcty",
"ASTM","Aastrom Biosciences, Inc.","0.5696","26010259.3984","n/a","1997","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/astm",
"AXAS","Abraxas Petroleum Corporation","2.41","223646221.42","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas",
"ACST","Acasti Pharma, Inc.","2.7","197609727.6","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acst",
"AXDX","Accelerate Diagnostics, Inc.","8.69","337538796.21","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/axdx",
"ACNB","ACNB Corporation","17","101492210","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acnb",
"ACPW","Active Power, Inc.","4.3","82820597.2","n/a","2000","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/acpw",
"ACUR","Acura Pharmaceuticals, Inc.","2.26","104808596.1","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acur",
"ADES","ADA-ES, Inc.","38","382429568","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ades",
"AEHR","Aehr Test Systems","1.31","13782492.97","n/a","1997","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/aehr",
"ATRM","Aetrium Incorporated","0.66","7115757.66","n/a","1993","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/atrm",
"AGEN","Agenus Inc.","4.11","116333488.35","n/a","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/agen",
"AIRT","Air T, Inc.","10","24462860","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/airt",
"ADHD","Alcobra Ltd.","7.17","0","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adhd",
"AFOP","Alliance Fiber Optic Products, Inc.","21.29","182763919.84","n/a","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/afop",
"ALTI","Altair Nanotechnologies Inc.","2.61","30250074.87","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/alti",
"ALVR","Alvarion Ltd.","1.89","11938906.98","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/alvr",
"AMBT","Ambient Corporation","1.76","29329613.28","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ambt",
"ASBI","Ameriana Bancorp","9.75","29142282","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/asbi",
"ANCI","American Caresource Holdings Inc","1.988","11344408.684","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/anci",
"AETI","American Electric Technologies, Inc.","6.02","48169487.52","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeti",
"ATLO","Ames National Corporation","20.71","192829008.23","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/atlo",
"AMPE","Ampio Pharmaceuticals, Inc.","5.54","205487397.52","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ampe",
"ANDA","Andina Acquisition Corporation","9.9786","52387650","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/anda",
"ANDAU","Andina Acquisition Corporation","10.19","16813510.19","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/andau",
"ANDAW","Andina Acquisition Corporation","0.2","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/andaw",
"ATRS","Antares Pharma, Inc.","4.09","516057439.17","n/a","2002","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atrs",
"APAGF","Apco Oil and Gas International Inc.","12.39","364776963.6","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/apagf",
"ATNY","API Technologies Corp.","2.77","151827076.63","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/atny",
"ARCI","Appliance Recycling Centers of America, Inc.","2","11111854","n/a","n/a","Consumer Services","Home Furnishings","http://www.nasdaq.com/symbol/arci",
"APRI","Apricus Biosciences, Inc","2.69","82159177.05","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/apri",
"AQU","Aquasition Corp.","9.87","65021092.5","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/aqu",
"AQUUU","Aquasition Corp.","10.1301","66734566.275","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/aquuu",
"AQUUW","Aquasition Corp.","0.24","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/aquuw",
"ARCW","ARC Group Worldwide, Inc.","5","28363090","n/a","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/arcw",
"ABIO","ARCA biopharma, Inc.","1.59","5065043.58","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/abio",
"ARWR","Arrowhead Research Corporation","2.24","70123910.08","n/a","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/arwr",
"ARTW","Art&#39;s-Way Manufacturing Co., Inc.","7.657","30927021.164","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/artw",
"ATEA","Astea International, Inc.","2.41","8645390.59","n/a","1995","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atea",
"ASTC","Astrotech Corporation","0.7901","15396463.0027","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/astc",
"ASUR","Asure Software Inc","5.96","31364786.08","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/asur",
"AFCB","Athens Bancshares Corporation","17.63","38756258.19","n/a","2010","Finance","Savings Institutions","http://www.nasdaq.com/symbol/afcb",
"ATHX","Athersys, Inc.","1.79","100785525.77","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/athx",
"AFH","Atlas Financial Holdings, Inc.","7.68","53025945.6","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afh",
"ATOS","Atossa Genetics Inc.","4.75","69716894.75","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atos",
"ATTU","Attunity Ltd.","5.62","61834870.52","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/attu",
"ADAT","Authentidate Holding Corp.","1.138","34465381.512","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/adat",
"ABTL","Autobytel Inc.","5.05","44760170","n/a","1999","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/abtl",
"BOSC","B.O.S. Better Online Solutions","2.76","3186787.08","n/a","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/bosc",
"BMRC","Bank of Marin Bancorp","39.56","215267718","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bmrc",
