"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"FCCY","1st Constitution Bancorp (NJ)","9.23","55298609.86","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"VNET","21Vianet Group, Inc.","9.36","341517795.84","36486944","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"ACAD","ACADIA Pharmaceuticals Inc.","14.35","1268036099.75","n/a","1985","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acad",
"ANCX","Access National Corporation","13.18","135763529.14","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx",
"ACRX","AcelRx Pharmaceuticals, Inc.","8.95","333274005.05","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrx",
"ACFN","Acorn Energy, Inc.","8.73","157930379.28","n/a","n/a","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/acfn",
"ADUS","Addus HomeCare Corporation","18.1","197135027.8","n/a","2009","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/adus",
"AEY","ADDvantage Technologies Group, Inc.","2.29","22896519.2","n/a","n/a","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/aey",
"ADEP","Adept Technology, Inc.","3.7","40282599.3","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/adep",
"AEZS","AEterna Zentaris Inc.","2.06","52178333.28","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aezs",
"ALCS","ALCO Stores, Inc.","9.7","31604181.1","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/alcs",
"ALXA","Alexza Pharmaceuticals, Inc.","4.59","72505269.45","n/a","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alxa",
"ALIM","Alimera Sciences, Inc.","4.4","138913671.6","n/a","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alim",
"ALLB","Alliance Bancorp, Inc. of Pennsylvania","13.74","71471825.16","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/allb",
"AIQ","Alliance HealthCare Services, Inc.","15.3","162614581.2","n/a","2001","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aiq",
"AHPI","Allied Healthcare Products, Inc.","2.57","20629767.79","n/a","1992","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/ahpi",
"AMOT","Allied Motion Technologies, Inc.","6.85","60617314.55","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/amot",
"ASDR","ALPS ETF Trust VelocityShares Emerging Asia DR ETF","53.28","5327840.16","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/asdr",
"EMDR","ALPS ETF Trust VelocityShares Emerging Markets DR ETF","50.02","2501250.1","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/emdr",
"RUDR","ALPS ETF Trust VelocityShares Russia Select DR ETF","50.15","2507750.75","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rudr",
"AMRN","Amarin Corporation PLC","6.98","993531650.44","142339778","1995","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amrn",
"AMBI","Ambit Biosciences Corporation","6.92","0","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ambi",
"AMIC","American Independence Corp.","7.03","56750012.44","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/amic",
"APFC","American Pacific Corporation","27.67","217668074.91","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/apfc",
"ASRV","AmeriServ Financial Inc.","3.03","58079609.64","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrv",
"ASRVP","AmeriServ Financial Inc.","26.9499","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrvp",
"FOLD","Amicus Therapeutics, Inc.","3.47","172221901.84","n/a","2007","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fold",
"ANAC","Anacor Pharmaceuticals, Inc.","5.76","233248124.16","n/a","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anac",
"ANLY","Analysts International Corporation","3.9501","20185512.6627","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/anly",
"ANCB","Anchor Bancorp","18.25","46537500","n/a","2011","Finance","Banks","http://www.nasdaq.com/symbol/ancb",
"AMCF","Andatee China Marine Fuel Services Corporation","0.61","5862196.99","n/a","2010","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/amcf",
"ANGI","Angie&#39;s List, Inc.","23.58","1370083218.12","n/a","n/a","Consumer Services","Advertising","http://www.nasdaq.com/symbol/angi",
"ANTH","Anthera Pharmaceuticals, Inc.","0.5851","87121538.6154","n/a","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anth",
"ARDNA","Arden Group, Inc.","107.54","330255340","n/a","n/a","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/ardna",
"ARKR","Ark Restaurants Corp.","21.56","69958858.2","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/arkr",
"ARTX","Arotech Corporation","1.61","26165354.53","n/a","1994","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/artx",
"ARQL","ArQule, Inc.","2.73","170963607.36","n/a","1996","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/arql",
"ARRY","Array BioPharma Inc.","5.99","699488461.63","n/a","2000","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/arry",
"ASBB","ASB Bancorp, Inc.","16.9","89659958.7","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/asbb",
"ASTI","Ascent Solar Technologies, Inc.","0.82","42249481.56","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/asti",
"AERL","Asia Entertainment & Resources Ltd","4.2","169894888.8","n/a","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/aerl",
"APWC","Asia Pacific Wire & Cable Corporation Limited","4.04","55868630.76","n/a","n/a","Basic Industries","Telecommunications Equipment","http://www.nasdaq.com/symbol/apwc",
"ALOT","Astro-Med, Inc.","10.6","78414252.6","n/a","1983","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/alot",
"ATAI","ATA Inc.","4.4084","54029244.5984","12255976","2008","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/atai",
"AAME","Atlantic American Corporation","3.93","84030462.21","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aame",
"ACFC","Atlantic Coast Federal Corporation","5.1201","13461055.2261","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/acfc",
"ATRC","AtriCure, Inc.","8.86","185455987.22","n/a","1979","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atrc",
