公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地 区,省 份,城 市,所属行业,公司网址
1,平安银行,平安银行股份有限公司,"Ping An BANK CO.,LTD",广东省深圳市罗湖区深南东路5047号,1,平安银行,1991-04-03,5123350416,3102471860,,,,0,0,华南,广东,深圳市,J 金融业,www.sdb.com.cn
2,万 科Ａ,万科企业股份有限公司,"CHINA VANKE CO., LTD",广东省深圳市盐田区大梅沙环梅路33号万科中心,2,万 科Ａ,1991-01-29,9694425581,9668005448,200002,万 科Ｂ,1993-05-28,1314955468,1314955468,华南,广东,深圳市,K 房地产,www.vanke.com
4,国农科技,深圳中国农大科技股份有限公司,"SHENZHEN CAU TECHNOLOGY CO., LTD",广东省深圳市福田区商报路奥林匹克大厦6楼D-E,4,国农科技,1990-12-01,83976684,83817017,,,,0,0,华南,广东,深圳市,C 制造业,www.sz000004.cn
5,世纪星源,深圳世纪星源股份有限公司,SHENZHEN FOUNTAIN CORPORATION,广东省深圳市人民南路发展中心大厦13层,5,世纪星源,1990-12-10,914333607,912328931,,,,0,0,华南,广东,深圳市,K 房地产,www.fountain.com.cn
6,深振业Ａ,深圳市振业(集团)股份有限公司,"SHENZHEN ZHENYE(GROUP) CO.,LTD",广东省深圳市罗湖区宝安南路2014号振业大厦B座11-17层,6,深振业Ａ,1992-04-27,1285709568,1271130900,,,,0,0,华南,广东,深圳市,K 房地产,www.zhenye.com
7,零七股份,深圳市零七股份有限公司,"SHENZHEN Zero-Seven CO., LTD",广东省深圳市华强北路1058号现代之窗大厦A座25层,7,零七股份,1992-04-13,230965363,184642978,,,,0,0,华南,广东,深圳市,H 住宿餐饮,
8,宝利来,广东宝利来投资股份有限公司,BAOLILAI INVESTMENT CO.，LTD. GUANGDONG,广东省深圳市南山区东滨路4287号管理楼二楼,8,宝利来,1992-05-07,303601640,147199578,,,,0,0,华南,广东,深圳市,H 住宿餐饮,
9,中国宝安,中国宝安集团股份有限公司,"CHINA BAOAN GROUP CO.,LTD",广东省深圳市笋岗东路1002号宝安广场A座28-29层,9,中国宝安,1991-06-25,1090750529,1078836710,,,,0,0,华南,广东,深圳市,S 综合,www.chinabaoan.com
10,S ST华新,北京深华新股份有限公司,"BEIJING SHENHUAXIN CO., LTD",北京市延庆县百泉街10号2栋349室,10,S ST华新,1995-10-27,147017448,67599944,,,,0,0,华北,北京,北京市,C 制造业,
11,深物业A,深圳市物业发展(集团)股份有限公司,"SHENZHEN PROPERTIES & RESOURCES DEVELOPMENT (GROUP)CO., LTD",广东省深圳市人民南路国贸大厦39、42层,11,深物业A,1992-03-30,528373849,175702963,200011,深物业B,1992-03-30,67605243,67605243,华南,广东,深圳市,K 房地产,www.szwuye.com.cn
12,南 玻Ａ,中国南玻集团股份有限公司,"CSG HOLDING CO.,LTD.",广东省深圳市蛇口工业六路一号南玻大厦,12,南 玻Ａ,1992-02-28,1312751568,1303631404,200012,南 玻Ｂ,1992-02-28,762583992,762583992,华南,广东,深圳市,C 制造业,www.csgholding.com
14,沙河股份,沙河实业股份有限公司,"SHAHE INDUSTRIAL CO.,LTD.",广东省深圳市南山区沙河商城七楼,14,沙河股份,1992-06-02,201705187,201701974,,,,0,0,华南,广东,深圳市,K 房地产,www.shahe.cn
16,深康佳Ａ,康佳集团股份有限公司,"KONKA GROUP CO.,LTD",广东省深圳市南山区华侨城,16,深康佳Ａ,1992-03-27,798296900,599428950,200016,深康佳Ｂ,1992-03-27,405675804,405675804,华南,广东,深圳市,C 制造业,www.konka.com
17,*ST中华A,深圳中华自行车(集团)股份有限公司,"SHENZHEN CHINA BICYCLE COMPANY(HOLDINGS) CO.,LTD",广东省深圳市布心路三零零八号,17,*ST中华A,1992-03-31,302984965,292999281,200017,*ST中华B,1992-03-31,248362982,248360357,华南,广东,深圳市,C 制造业,www.cbc.com.cn
18,*ST中冠A,深圳中冠纺织印染股份有限公司,"SHENZHEN VICTOR ONWARD TEXTILE INDUSTRIAL CO.,LTD",广东省深圳市龙岗区葵涌镇白石岗葵鹏路26号,18,*ST中冠A,1992-06-16,99720453,99579574,200018,*ST中冠B,1992-06-16,69421903,69421903,华南,广东,深圳市,C 制造业,www.chinaszvo.com
19,深深宝Ａ,深圳市深宝实业股份有限公司,"SHENZHEN SHENBAO INDUSTRIAL CO.,LTD",广东省深圳市福田区竹子林四路紫竹七道26号教育科技大厦塔楼20层南半层,19,深深宝Ａ,1992-10-12,224764154,202572296,200019,深深宝Ｂ,1992-10-12,26136000,26136000,华南,广东,深圳市,C 制造业,www.sbsy.com.cn
20,深华发Ａ,深圳中恒华发股份有限公司,"SHENZHEN HUAFA ELECTRONICS CO., LTD.",广东省深圳市福田区华发北路411幢,20,深华发Ａ,1992-04-28,181165391,64656289,200020,深华发Ｂ,1992-04-28,101995836,101995836,华南,广东,深圳市,C 制造业,www.hwafa.com.cn
21,长城开发,深圳长城开发科技股份有限公司,"SHENZHEN KAIFA TECHNOLOGY CO., LTD",广东省深圳市福田区彩田路7006号,21,长城开发,1994-02-02,1319277781,1317832780,,,,0,0,华南,广东,深圳市,C 制造业,www.kaifa.com.cn
22,深赤湾Ａ,深圳赤湾港航股份有限公司,"SHENZHEN CHIWAN WHARF HOLDINGS CO.,LTD",广东省深圳市赤湾,22,深赤湾Ａ,1993-05-05,464868300,464763965,200022,深赤湾Ｂ,1993-05-05,179895430,179786163,华南,广东,深圳市,G 运输仓储,www.szcwh.com
23,深天地Ａ,深圳市天地(集团)股份有限公司,"SHENZHEN UNIVERSE (GROUP)CO.,LTD",广东省深圳市高新技术产业园北区朗山路东物商业大楼10楼,23,深天地Ａ,1993-04-29,138756240,138756240,,,,0,0,华南,广东,深圳市,C 制造业,www.000023.cn
24,招商地产,招商局地产控股股份有限公司,"CHINA MERCHANTS PROPERTY DEVELOPMENT CO., LTD",广东省深圳南山区蛇口工业区兴华路6号南海意库3号楼,24,招商地产,1993-06-07,1377957213,684267596,200024,招商局Ｂ,1993-06-07,339343290,338240091,华南,广东,深圳市,K 房地产,www.cmpd.cn
25,特 力Ａ,深圳市特力(集团)股份有限公司,"SHENZHEN TELLUS HOLDING CO.,LTD",广东省深圳市罗湖区水贝二路特力大厦三楼,25,特 力Ａ,1993-06-21,193881600,179294544,200025,特 力Ｂ,1993-06-21,26400000,26400000,华南,广东,深圳市,F 批发零售,www.tellus.cn
26,飞亚达Ａ,飞亚达（集团）股份有限公司,FIYTA HOLDINGS LTD.,广东省深圳市南山区高新南一道飞亚达科技大厦,26,飞亚达Ａ,1993-06-03,311119870,148092810,200026,飞亚达Ｂ,1993-06-03,81648000,81648000,华南,广东,深圳市,F 批发零售,www.fiytagroup.com
27,深圳能源,深圳能源集团股份有限公司,"Shenzhen Energy Group Co., Ltd.",广东省深圳市福田区深南中路2068号华能大厦5，33，35-36，38-41层,27,深圳能源,1993-09-03,2642994398,958349975,,,,0,0,华南,广东,深圳市,D 水电煤气,www.sec.com.cn
28,国药一致,国药集团一致药业股份有限公司,CHINA NATIONAL ACCORD MEDICINES CORPORATION LTD,广东省深圳市福田区八卦四路15号一致药业大楼,28,国药一致,1993-08-09,233263800,233261149,200028,一致Ｂ,1993-08-09,54885600,54885600,华南,广东,深圳市,F 批发零售,www.szaccord.com.cn
29,深深房Ａ,深圳经济特区房地产(集团)股份有限公司,"SHENZHEN SPECIAL ECONOMIC ZONE REAL ESTATE（GROUP）CO.,LTD.",广东省深圳市人民南路3005号深房广场47楼,29,深深房Ａ,1993-09-15,891660000,891660000,200029,深深房Ｂ,1994-01-10,120000000,120000000,华南,广东,深圳市,K 房地产,www.sfjt.com.cn
30,富奥股份,富奥汽车零部件股份有限公司,FAWER Automotive Parts Limited Company,吉林省长春市汽车经济技术开发区东风南街777号,30,富奥股份,1993-09-29,1259095140,184975441,200030,富奥B,1993-09-29,39600000,39600000,东北,吉林,长春市,C 制造业,
