公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股简称,B股上市日期,B股总股本,B股流通股本,地 区,省 份,城 市,所属行业,公司网址
2,万 科Ａ,万科企业股份有限公司,"CHINA VANKE CO., LTD",广东省深圳市盐田区大梅沙环梅路33号万科中心,2,万 科Ａ,1991-01-29,9694425581,9668005448,200002,万 科Ｂ,1993-05-28,1314955468,1314955468,华南,广东,深圳市,K 房地产,www.vanke.com
11,深物业A,深圳市物业发展(集团)股份有限公司,"SHENZHEN PROPERTIES & RESOURCES DEVELOPMENT (GROUP)CO., LTD",广东省深圳市人民南路国贸大厦39、42层,11,深物业A,1992-03-30,528373849,175702963,200011,深物业B,1992-03-30,67605243,67605243,华南,广东,深圳市,K 房地产,www.szwuye.com.cn
12,南 玻Ａ,中国南玻集团股份有限公司,"CSG HOLDING CO.,LTD.",广东省深圳市蛇口工业六路一号南玻大厦,12,南 玻Ａ,1992-02-28,1312751568,1303631404,200012,南 玻Ｂ,1992-02-28,762583992,762583992,华南,广东,深圳市,C 制造业,www.csgholding.com
16,深康佳Ａ,康佳集团股份有限公司,"KONKA GROUP CO.,LTD",广东省深圳市南山区华侨城,16,深康佳Ａ,1992-03-27,798296900,599428950,200016,深康佳Ｂ,1992-03-27,405675804,405675804,华南,广东,深圳市,C 制造业,www.konka.com
17,*ST中华A,深圳中华自行车(集团)股份有限公司,"SHENZHEN CHINA BICYCLE COMPANY(HOLDINGS) CO.,LTD",广东省深圳市布心路三零零八号,17,*ST中华A,1992-03-31,302984965,292999281,200017,*ST中华B,1992-03-31,248362982,248360357,华南,广东,深圳市,C 制造业,www.cbc.com.cn
18,*ST中冠A,深圳中冠纺织印染股份有限公司,"SHENZHEN VICTOR ONWARD TEXTILE INDUSTRIAL CO.,LTD",广东省深圳市龙岗区葵涌镇白石岗葵鹏路26号,18,*ST中冠A,1992-06-16,99720453,99579574,200018,*ST中冠B,1992-06-16,69421903,69421903,华南,广东,深圳市,C 制造业,www.chinaszvo.com
19,深深宝Ａ,深圳市深宝实业股份有限公司,"SHENZHEN SHENBAO INDUSTRIAL CO.,LTD",广东省深圳市福田区竹子林四路紫竹七道26号教育科技大厦塔楼20层南半层,19,深深宝Ａ,1992-10-12,224764154,202572296,200019,深深宝Ｂ,1992-10-12,26136000,26136000,华南,广东,深圳市,C 制造业,www.sbsy.com.cn
20,深华发Ａ,深圳中恒华发股份有限公司,"SHENZHEN HUAFA ELECTRONICS CO., LTD.",广东省深圳市福田区华发北路411幢,20,深华发Ａ,1992-04-28,181165391,64656289,200020,深华发Ｂ,1992-04-28,101995836,101995836,华南,广东,深圳市,C 制造业,www.hwafa.com.cn
22,深赤湾Ａ,深圳赤湾港航股份有限公司,"SHENZHEN CHIWAN WHARF HOLDINGS CO.,LTD",广东省深圳市赤湾,22,深赤湾Ａ,1993-05-05,464868300,464763965,200022,深赤湾Ｂ,1993-05-05,179895430,179786163,华南,广东,深圳市,G 运输仓储,www.szcwh.com
24,招商地产,招商局地产控股股份有限公司,"CHINA MERCHANTS PROPERTY DEVELOPMENT CO., LTD",广东省深圳南山区蛇口工业区兴华路6号南海意库3号楼,24,招商地产,1993-06-07,1377957213,684267596,200024,招商局Ｂ,1993-06-07,339343290,338240091,华南,广东,深圳市,K 房地产,www.cmpd.cn
25,特 力Ａ,深圳市特力(集团)股份有限公司,"SHENZHEN TELLUS HOLDING CO.,LTD",广东省深圳市罗湖区水贝二路特力大厦三楼,25,特 力Ａ,1993-06-21,193881600,179294544,200025,特 力Ｂ,1993-06-21,26400000,26400000,华南,广东,深圳市,F 批发零售,www.tellus.cn
26,飞亚达Ａ,飞亚达（集团）股份有限公司,FIYTA HOLDINGS LTD.,广东省深圳市南山区高新南一道飞亚达科技大厦,26,飞亚达Ａ,1993-06-03,311119870,148092810,200026,飞亚达Ｂ,1993-06-03,81648000,81648000,华南,广东,深圳市,F 批发零售,www.fiytagroup.com
28,国药一致,国药集团一致药业股份有限公司,CHINA NATIONAL ACCORD MEDICINES CORPORATION LTD,广东省深圳市福田区八卦四路15号一致药业大楼,28,国药一致,1993-08-09,233263800,233261149,200028,一致Ｂ,1993-08-09,54885600,54885600,华南,广东,深圳市,F 批发零售,www.szaccord.com.cn
