公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地 区,省 份,城 市,所属行业,公司网址
300001,特锐德,青岛特锐德电气股份有限公司,"QINGDAO TGOOD ELECTRIC CO.,LTD.",山东省青岛市崂山区松岭路336号,300001,特锐德,2009-10-30,200400000,192840000,,,,0,0,华东,山东,青岛市,C 制造业,www.qdtgood.com
300002,神州泰岳,北京神州泰岳软件股份有限公司,"Beijing Ultrapower Software Co., LTD",北京市海淀区万泉庄路28号万柳新贵大厦A座6层601室,300002,神州泰岳,2009-10-30,613413920,315687336,,,,0,0,华北,北京,北京市,I 信息技术,www.ultrapower.com.cn
300003,乐普医疗,乐普（北京）医疗器械股份有限公司,"Lepu Medical Technology (Beijing) Co.,Ltd.",北京市昌平区超前路37号,300003,乐普医疗,2009-10-30,812000000,686106725,,,,0,0,华北,北京,北京市,C 制造业,www.lepumedical.com
300004,南风股份,南方风机股份有限公司,"NanFang Ventilator Co., Ltd.",广东省佛山市南海区狮山大道,300004,南风股份,2009-10-30,188000000,137032416,,,,0,0,华南,广东,佛山市,C 制造业,www.ntfan.com
300005,探路者,北京探路者户外用品股份有限公司,"Beijing Toread Outdoor Products Co.,Ltd.",北京市昌平区科技园区永安路26号609,300005,探路者,2009-10-30,423192674,225752975,,,,0,0,华北,北京,北京市,C 制造业,www.toread.com.cn
300006,莱美药业,重庆莱美药业股份有限公司,"Chongqing Lummy Pharmaceutical Co.,Ltd.",重庆市南岸区月季路8号,300006,莱美药业,2009-10-30,183000000,106753195,,,,0,0,西南,重庆,重庆市,C 制造业,www.cqlummy.com
300007,汉威电子,河南汉威电子股份有限公司,"HENAN HANWEI ELECTRONICS CO.,LTD",河南省郑州高新技术开发区雪松路169号,300007,汉威电子,2009-10-30,118000000,67850081,,,,0,0,华中,河南,郑州市,C 制造业,www.hwsensor.com
300008,上海佳豪,上海佳豪船舶工程设计股份有限公司,"SHANGHAI BESTWAY MARINE ENGINEERING DESIGN CO.,LTD.",上海市松江区莘砖公路518号10幢8层,300008,上海佳豪,2009-10-30,218484000,155724269,,,,0,0,华东,上海,上海市,M 科研服务,www.bestwaysh.com
300009,安科生物,安徽安科生物工程(集团)股份有限公司,"ANHUI ANKE BIOTECHNOLOGY (GROUP)CO.,LTD.",安徽省合肥市长江西路669号高新区海关路K-1,300009,安科生物,2009-10-30,193895000,103347189,,,,0,0,华东,安徽,合肥市,C 制造业,www.ankebio.com
300010,立思辰,北京立思辰科技股份有限公司,"BEIJING LANXUM TECHNOLOGY CO.,LTD.",北京市门头沟区石龙南路6号1幢6-206室,300010,立思辰,2009-10-30,260867333,147239055,,,,0,0,华北,北京,北京市,I 信息技术,www.lanxum.com
300011,鼎汉技术,北京鼎汉技术股份有限公司,"Beijing Dinghan Technology Co.,Ltd.",北京市丰台区南四环西路188号十八区2号楼,300011,鼎汉技术,2009-10-30,231192000,179418578,,,,0,0,华北,北京,北京市,C 制造业,www.dinghantech.com
300012,华测检测,深圳市华测检测技术股份有限公司,"CENTRE TESTING INTERNATIONAL (SHENZHEN) CO.,LTD.",广东省深圳市宝安区70区留仙三路6号鸿威工业园C栋厂房1楼,300012,华测检测,2009-10-30,369205950,176013316,,,,0,0,华南,广东,深圳市,M 科研服务,www.cti-cert.com
300013,新宁物流,江苏新宁现代物流股份有限公司,"JIANGSU XINNING MODERN LOGISTICS CO.,LTD.",江苏省昆山市张浦镇阳光西路760号,300013,新宁物流,2009-10-30,90000000,49095000,,,,0,0,华东,江苏,苏州市,G 运输仓储,www.xinning.com.cn
300014,亿纬锂能,惠州亿纬锂能股份有限公司,EVE Energy Co. Ltd.,广东省惠州市仲恺高新区75号小区,300014,亿纬锂能,2009-10-30,198330000,153378217,,,,0,0,华南,广东,惠州市,C 制造业,www.evebattery.com
300015,爱尔眼科,爱尔眼科医院集团股份有限公司,"Aier Eye Hospital Group Co.,Ltd.",湖南省长沙市芙蓉区长冲路99号隆平高科技园省科研成果转化中心一楼,300015,爱尔眼科,2009-10-30,432646500,340445220,,,,0,0,华中,湖南,长沙市,Q 卫生,www.aierchina.com
300016,北陆药业,北京北陆药业股份有限公司,"Beijing Beilu Pharmaceutical Co.,Ltd",北京市昌平区科技园区白浮泉路10号,300016,北陆药业,2009-10-30,305498208,243195096,,,,0,0,华北,北京,北京市,C 制造业,www.beilu.com.cn
300017,网宿科技,网宿科技股份有限公司,"Wangsu Science & Technology Co.,Ltd.",上海市嘉定环城路200号,300017,网宿科技,2009-10-30,155191286,100323887,,,,0,0,华东,上海,上海市,I 信息技术,www.chinanetcenter.com
300018,中元华电,武汉中元华电科技股份有限公司,"Wuhan Zhongyuan Huadian Science & Technology Co.,Ltd.",湖北省武汉东湖新技术开发区华中科技大学科技园六路6号,300018,中元华电,2009-10-30,130000000,100697500,,,,0,0,华中,湖北,武汉市,C 制造业,www.zyhd.com.cn
