公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地 区,省 份,城 市,所属行业,公司网址
2001,新 和 成,浙江新和成股份有限公司,Zhejiang NHU Company Ltd.,浙江省新昌县羽林街道江北路4号,2001,新 和 成,2004-06-25,725946000,709497531,,,,0,0,华东,浙江,绍兴市,C 制造业,www.cnhu.com
2002,金材股份,江苏金材科技股份有限公司,"Jiangsu Golden Material Technology Co.,Ltd.",江苏省扬州市广陵区杭集镇曙光路,2002,金材股份,2004-06-25,497193105,136407578,,,,0,0,华东,江苏,扬州市,C 制造业,www.goldenmaterial.com
2003,伟星股份,浙江伟星实业发展股份有限公司,"Zhejiang Weixing Industrial Development Co., Ltd.",浙江省临海市花园工业区,2003,伟星股份,2004-06-25,258988006,223381356,,,,0,0,华东,浙江,台州市,C 制造业,www.weixing.cn
2004,华邦颖泰,华邦颖泰股份有限公司,"HUAPONT-NUTRICHEM CO., LTD.",重庆市渝北区人和星光大道69号,2004,华邦颖泰,2004-06-25,568052770,347990349,,,,0,0,西南,重庆,重庆市,C 制造业,www.huapont.com.cn
2005,德豪润达,广东德豪润达电气股份有限公司,"Elec-Tech International Co., Ltd.",广东省珠海市香洲区唐家湾镇金凤路1号,2005,德豪润达,2004-06-25,1166400000,844706538,,,,0,0,华南,广东,珠海市,C 制造业,www.electech.com.cn
2006,精功科技,浙江精功科技股份有限公司,ZHEJIANG JINGGONG SCIENCE & TECHNOLOGY Co.，LTD,浙江省绍兴县柯桥镇柯西工业区,2006,精功科技,2004-06-25,455160000,426113874,,,,0,0,华东,浙江,绍兴市,C 制造业,www.jgtec.com.cn
2007,华兰生物,华兰生物工程股份有限公司,Hualan Biological Engineering Inc.,河南省新乡市华兰大道甲1号,2007,华兰生物,2004-06-25,576204800,576118242,,,,0,0,华中,河南,新乡市,C 制造业,www.hualanbio.com
2008,大族激光,深圳市大族激光科技股份有限公司,"Han""s Laser Technology Co., Ltd.",广东省深圳市南山区深南大道9988号,2008,大族激光,2004-06-25,1044396600,945237691,,,,0,0,华南,广东,深圳市,C 制造业,www.hanslaser.com
2009,天奇股份,天奇自动化工程股份有限公司,"Miracle Automation Engineering Co.,Ltd.",江苏省无锡市惠山区洛社镇洛藕路288号,2009,天奇股份,2004-06-29,221010822,169912196,,,,0,0,华东,江苏,无锡市,C 制造业,www.chinaconveyor.com
2010,传化股份,浙江传化股份有限公司,"Zhejiang Transfar Co.,Ltd.",浙江省杭州市萧山经济技术开发区,2010,传化股份,2004-06-29,487980000,412833094,,,,0,0,华东,浙江,杭州市,C 制造业,www.transfarchem.com
2011,盾安环境,浙江盾安人工环境设备股份有限公司,"ZHEJIANG DUN""AN ARTIFICIAL ENVIRONMENT Co., LTD.",浙江省诸暨市店口工业区,2011,盾安环境,2004-07-05,838042460,833121897,,,,0,0,华东,浙江,绍兴市,C 制造业,www.dunan.net
